real.iter	 postA	 log.lik	 Prior_mean	 Prior_var	 sumHpriorA	 mbm_sig.sq	 mbm_anc.st	 vou_alpha	 vou_sig.sq	 vou_anc.st	 vou_theta1	 vou_theta2	 sp1_mean	 sp2_mean	 sp3_mean	 sp4_mean	 sp5_mean	 sp6_mean	 sp7_mean	 sp8_mean	 sp9_mean	 sp10_mean	 sp11_mean	 sp12_mean	 sp13_mean	 sp14_mean	 sp15_mean	 sp16_mean	 sp17_mean	 sp18_mean	 sp19_mean	 sp20_mean	 sp21_mean	 sp22_mean	 sp23_mean	 sp24_mean	 sp25_mean	 sp26_mean	 sp27_mean	 sp28_mean	 sp29_mean	 sp30_mean	 sp31_mean	 sp32_mean	 sp33_mean	 sp34_mean	 sp35_mean	 sp36_mean	 sp37_mean	 sp38_mean	 sp39_mean	 sp40_mean	 sp41_mean	 sp42_mean	 sp43_mean	 sp44_mean	 sp45_mean	 sp46_mean	 sp47_mean	 sp48_mean	 sp49_mean	 sp50_mean	 sp1_var	 sp2_var	 sp3_var	 sp4_var	 sp5_var	 sp6_var	 sp7_var	 sp8_var	 sp9_var	 sp10_var	 sp11_var	 sp12_var	 sp13_var	 sp14_var	 sp15_var	 sp16_var	 sp17_var	 sp18_var	 sp19_var	 sp20_var	 sp21_var	 sp22_var	 sp23_var	 sp24_var	 sp25_var	 sp26_var	 sp27_var	 sp28_var	 sp29_var	 sp30_var	 sp31_var	 sp32_var	 sp33_var	 sp34_var	 sp35_var	 sp36_var	 sp37_var	 sp38_var	 sp39_var	 sp40_var	 sp41_var	 sp42_var	 sp43_var	 sp44_var	 sp45_var	 sp46_var	 sp47_var	 sp48_var	 sp49_var	 sp50_var	 acc	 temperature	 
1000	 -1682.59960891341	 -1573.21089811814	 -34.1102212327941	 -53.1902758135878	 -22.0882137488859	 0.826889738947045	 350.579832583105	 0.304849824868143	 1.93931069287004	 1.89251481005304	 4.17323974432068	 0.479534280662827	 350.509155600807	 350.612339362645	 350.562162291227	 349.430431836679	 349.679152762445	 349.779472901525	 350.011681889413	 349.328631162686	 350.267265725807	 350.070716501063	 349.042130746666	 350.05849677434	 349.788056963875	 350.329293385206	 348.745711863233	 349.098701712905	 350.195265268158	 350.980918555956	 350.164906987926	 350.554679508036	 350.094417575084	 349.989826374354	 349.692333949729	 349.834419507802	 350.428964310492	 350.85248475523	 350.569687106396	 351.033729810322	 351.8859185531	 351.121398659142	 350.298061109096	 349.745390092393	 349.564481594481	 350.206299308126	 350.620665135382	 350.654214218223	 350.88319535402	 349.522814030111	 350.594072480364	 350.697709997783	 350.313333858756	 350.303360994135	 350.796938724432	 350.15917413965	 350.40122740925	 349.666714716927	 350.411903105382	 350.333230997975	 349.954769609444	 350.268824841401	 2.28721945832082	 4.00423719928313	 4.09482636212203	 2.4785530210754	 3.50173907229607	 3.06544789336618	 2.16113602272227	 2.51124943296309	 3.02032262984456	 3.96423157782543	 1.51932922793095	 0.227769016847891	 0.899642049817482	 0.706862868752981	 1.80069114618158	 1.70986139643429	 0.351667967849154	 2.61629951654173	 2.43357699865013	 3.2902531175051	 3.22110054838158	 1.15249584044366	 1.19335261384376	 1.04511681181706	 1.69166508801537	 1.21637999568211	 1.63875039407362	 1.81812519727493	 1.49466489041611	 1.42446027651236	 0.671323520077393	 1.82803320698444	 1.84113905772533	 1.36989862296177	 1.21164287810921	 0.121951641858932	 2.87959348066198	 1.64297466126244	 0.641848119301514	 0.384109318867283	 0.880078783873209	 0.943388536412199	 0.635008973536625	 0.408554296748171	 1.95524486034236	 0.779397337311304	 0.576221866158502	 0.888146434164422	 0.255960883226911	 1.44354901123331	 0.69	 1	 
2000	 -1688.99276053758	 -1585.5146108754	 -36.2574846135507	 -45.3885255546774	 -21.8321394939477	 0.890345118604965	 349.708024553678	 0.828275699401274	 1.65792914087017	 1.70752696060741	 2.04137343912717	 1.96515969625991	 350.094792028315	 350.359064178701	 350.007527163755	 349.686744818379	 349.937141381292	 350.022579557391	 349.870355315433	 349.289920936009	 350.177768672391	 350.219742343656	 349.052109380466	 350.030417477527	 349.844843665903	 350.364449456311	 348.875166045038	 349.382903111506	 350.209071834462	 350.89391314527	 350.350455986495	 350.844401119193	 349.544888848327	 349.95841000094	 349.648883515036	 350.034695123293	 349.72791684494	 351.042108031577	 350.693954231049	 351.118968312153	 351.731429137914	 350.952243125568	 350.239193408061	 349.564716779709	 349.74916143243	 350.136292867627	 350.545544681258	 350.61496486755	 351.09316802365	 349.706688555156	 350.583530053754	 350.50686248576	 350.443996828984	 350.466397371959	 350.725892542084	 350.389211706258	 349.997727177238	 349.77453043944	 350.415619506919	 350.429259823879	 349.843190686847	 350.14092952225	 3.03221196912289	 3.85560445564115	 3.65295463604	 2.4785530210754	 3.08254311588009	 2.64765492095644	 2.73472682342303	 3.36386015002481	 3.06334546907692	 3.15900125655287	 1.61782661631008	 0.227769016847891	 0.999387405183124	 0.422208533587516	 0.935807270234958	 2.34503556118116	 0.62803036353938	 1.96632232660079	 1.57023736089087	 2.81175977647823	 2.31948743122065	 1.02838101323201	 1.5057433561314	 1.03831968399523	 2.31262432059457	 1.27150563764317	 1.38802293881076	 1.11380641669531	 1.89434735063544	 1.42106784193363	 0.671323520077393	 1.67462277588324	 1.68381771578639	 1.36989862296177	 1.17400431523697	 0.0764628383205015	 2.47717224356899	 1.2258379879141	 1.01116135408034	 0.757906438326184	 0.880078783873209	 0.723226469190616	 0.73491267684781	 0.487212172499795	 1.49573972581721	 0.558686462776278	 0.908774400913683	 0.847088392149398	 0.255960883226911	 1.51623795147979	 0.663	 1	 
3000	 -1702.27935699787	 -1590.14721680835	 -43.6143225613298	 -46.677697547346	 -21.8401200808496	 1.12567739171828	 350.05401314031	 0.851427978952415	 1.35492033704108	 2.71556376832059	 1.85681727072533	 1.19005181384742	 350.107371122941	 350.6352609351	 350.297787646554	 349.903441960438	 350.034663132622	 350.312075167695	 349.847619992627	 348.950124688748	 349.900448564523	 350.588934883347	 349.166553471583	 350.16314483732	 350.099308280328	 350.240231798788	 349.083568597566	 349.064081156497	 350.416348181653	 350.570118274901	 350.092347315185	 351.12468700067	 350.179494901267	 349.746616672654	 349.513931368186	 349.886550429649	 350.286489294226	 350.80371016193	 350.343373485066	 351.303000924717	 351.53330748036	 351.409950527065	 350.534688016377	 349.46932410574	 350.102489814547	 350.29821328864	 350.486508477199	 350.661551158345	 351.111918566668	 349.436618529971	 350.644806704126	 350.624716063656	 350.785828663011	 350.616565294416	 350.926784952465	 350.227458776654	 350.057666604291	 349.727353713698	 350.394745828297	 350.406195467911	 349.781519969975	 350.376870214853	 2.51546037745745	 3.35996605270665	 3.65295463604	 3.09057744562839	 2.26057531608434	 2.60338008188089	 3.19045729781241	 2.00969287450249	 2.88223696283833	 2.78419680192381	 1.36083715093864	 0.227769016847891	 1.21497421426057	 0.499141990931397	 1.57646145146302	 1.18800278613313	 0.62803036353938	 2.09881493663687	 2.86153337190509	 2.51150063462335	 2.74457490617396	 1.1327477009963	 1.41383417751164	 1.08026543884442	 2.67423946254534	 1.38729509239815	 2.37909445863009	 1.61849614288429	 1.66833305973454	 1.30346633490077	 0.88108819381511	 1.27849092033505	 1.83521295653023	 1.53440724105747	 1.64589860706594	 0.0700731231796286	 2.7534737639495	 1.32696099840784	 0.846700863908149	 0.571886177244893	 0.816755498032936	 0.745251421929833	 0.979073434063547	 1.07449763694525	 1.68895968073012	 0.574565654126884	 0.755134037176303	 0.915820535617556	 0.263222793297849	 0.973615822955289	 0.657	 1	 
4000	 -1686.86185897311	 -1589.63797914209	 -37.3007294127539	 -38.1754409311468	 -21.7477094871236	 0.811179840356311	 349.635315008781	 0.803679289878346	 1.60441749423845	 1.49161555481516	 2.78055057131275	 0.461777349236848	 350.355055212353	 350.458637885973	 350.628324389595	 349.924012597835	 350.473878616051	 349.648840286061	 350.568501389614	 348.896911854506	 350.070321991801	 350.083043908953	 349.235461301831	 350.17920590867	 350.324331771425	 350.326147729304	 349.028472922191	 349.098110684365	 350.039101579545	 350.674380480919	 350.027240939246	 350.922285338232	 350.153140632515	 349.636280094421	 349.483518327491	 349.714182310486	 349.902917070323	 350.926016565884	 350.558514301355	 350.861903390989	 351.733685208388	 351.257188029162	 350.379815385181	 349.654223691263	 350.074820130292	 350.83012007892	 350.685352254272	 350.612855609857	 350.943361737125	 349.685652619871	 350.472523493081	 350.689677223365	 350.515082937879	 350.60696683062	 350.474466968287	 350.116686795968	 350.330636373607	 349.654035181543	 350.087302672069	 350.209807626774	 349.782571203547	 350.439812240287	 3.57057658635675	 3.48829187852205	 3.40092776263656	 3.15020611265841	 3.76837464684777	 2.91650665046276	 2.90605857437598	 1.99650006897666	 2.79364456699788	 2.86200653202029	 2.44370428909796	 0.450950634102778	 1.88945395736014	 0.63857159339417	 1.77167147534593	 1.11643708671765	 0.722403868035541	 2.03800894508547	 2.78243690223602	 2.79596173458772	 2.78122351349099	 1.1327477009963	 1.27529483768371	 1.5144765230794	 3.34721489029858	 0.814385719050988	 1.44706964422286	 1.39972737294453	 1.65946781838771	 1.25563235342952	 1.04829128833995	 2.02962634387986	 1.78071836033523	 1.55137657493866	 0.765132381297276	 0.0700731231796286	 1.86025640880955	 1.06930218865082	 1.02913955732107	 0.801242150304224	 0.89184427644263	 0.719684030897505	 0.579434530931106	 0.928197994918018	 1.47146676991637	 0.742200538670716	 0.689560109674396	 0.710183177289227	 0.264051447354849	 1.23716899801086	 0.65075	 1	 
5000	 -1675.83352134897	 -1580.82805237698	 -33.6448823409717	 -39.6221154849993	 -21.7384711460164	 0.663621835283178	 350.172474796723	 0.665669867652468	 0.835612057081448	 1.27435806070438	 2.77665625418329	 1.75989717421802	 350.490403182765	 350.844264537002	 350.928187293952	 349.708675427978	 349.920063485943	 349.792410632118	 350.502998647196	 349.383393152762	 350.101510119574	 350.607754839247	 349.139789909094	 350.186979717559	 350.218505155908	 350.188905536382	 348.926023348132	 348.811807862631	 350.055499278297	 350.775967326928	 350.793400585721	 350.889986700459	 350.298920723051	 349.738855794944	 349.475213171806	 349.623518303703	 350.587605977386	 350.843027934045	 350.586331842687	 350.913937446095	 351.972939918723	 351.408684174182	 350.559104070406	 350.152009260099	 349.970146503768	 350.550373279224	 351.162904910599	 350.61766509443	 350.485659987504	 349.936248702809	 350.526743042317	 350.511751467698	 350.611900104715	 350.64189046793	 350.527357827198	 349.997831138471	 350.258003313799	 349.491087028312	 350.057048394928	 350.079089402711	 349.911231102973	 350.109117458129	 2.23630900380237	 3.48829187852205	 3.24072973804153	 2.32608077536421	 3.09620233422827	 2.90982674879901	 2.85468560237456	 2.73800606453853	 2.70570995630586	 3.16939541702506	 2.58577541102858	 0.255831590785366	 1.31446802190672	 0.581798029797317	 1.99371614176414	 1.91378806718539	 0.491937449640399	 2.31525185762549	 2.14575863433821	 2.30920353611776	 2.18578584899884	 1.33926553690991	 1.39663245062686	 0.916244912290397	 2.78965792434759	 1.65837015097041	 2.30120407318056	 2.11697014729702	 1.95002975555043	 1.73230915415814	 0.648478728786001	 1.73884026970424	 1.75307453526194	 1.81917785941858	 0.595421717809909	 0.128005957440665	 2.07948240891602	 1.06930218865082	 0.808401235916997	 0.709726086731272	 1.02825780174975	 0.837452958160648	 0.827085330033926	 0.54806761840967	 0.739804875756307	 1.00276341779567	 1.09121052985438	 1.23981233442651	 0.772836260744775	 1.23165363575665	 0.6448	 1	 
6000	 -1686.83753298778	 -1585.57614713133	 -33.6436517566311	 -45.4981653242826	 -22.119568775535	 0.755666577518069	 350.35000173436	 0.357777978293598	 1.54281183838147	 1.58216414182602	 4.91480602585511	 0.768705283410033	 350.538578483609	 350.757881998764	 350.717960840919	 349.494236452653	 349.702787763015	 350.021688490761	 350.016674596832	 349.071650365796	 350.103206749675	 350.236500880677	 349.055389440664	 350.141142740561	 350.285294898807	 350.099618240663	 348.640592343459	 348.785355472544	 349.95146738578	 350.985638634386	 350.325970758699	 350.553693482743	 349.972141115018	 349.674420410698	 349.588449797939	 349.60146554153	 349.865002905535	 351.195285405643	 350.945906986508	 350.669713708665	 351.957308926784	 351.025563036469	 350.690408383969	 350.265323902512	 349.758111440613	 350.520667677227	 351.119931331088	 350.633456965384	 350.544218090978	 349.81508118892	 350.509901865985	 350.438413617948	 350.47482610508	 350.58897531015	 350.649899985386	 349.955648701375	 350.350983249372	 349.367598305152	 350.006745313022	 350.045841464101	 349.9898751958	 350.580685987795	 2.90426129277346	 3.07162075704346	 3.08772007366602	 3.27231940346801	 2.34093828835529	 3.41672485519396	 2.75048654888953	 2.78535688803311	 2.16682356254729	 2.71833075204311	 3.58667229773723	 0.255831590785366	 1.14145379780551	 0.274457804522077	 1.13631158760567	 1.442217481037	 0.363613464505038	 2.14031383962427	 2.14575863433821	 3.06159284220462	 3.39227365959013	 0.912116885463354	 1.39663245062686	 1.10992980538825	 2.33755095266649	 1.70424180086979	 2.12167641383294	 1.66141171161043	 2.24175840648238	 1.22780601738028	 0.386792554966351	 1.95882941278507	 1.75307453526194	 1.81917785941858	 0.625542066923791	 0.0587458183812972	 1.37214508054321	 1.12579667657805	 1.43349942206603	 1.06574236288683	 1.12632597471963	 1.04060952589728	 1.37342295079668	 0.598578707805099	 1.37697635962487	 0.810659647554791	 0.815641825773132	 1.10741984716044	 0.562639067293837	 1.7150748652514	 0.6345	 1	 
7000	 -1689.7951728134	 -1580.39431462494	 -38.8607904993169	 -47.94010946902	 -22.5999582201262	 0.87306819860532	 350.210646539273	 0.136809852323495	 1.31765181778924	 1.60453116492083	 7.03960843311945	 1.32303568636657	 350.561216741694	 350.785505758022	 350.836250569465	 349.379449372319	 350.015282030465	 350.045348125014	 350.147316703418	 348.77189913272	 349.969078323221	 350.12625436048	 348.693158920409	 349.971986454078	 350.218005273664	 350.01350027073	 348.720966036225	 348.70376116334	 349.981480313293	 351.096420342576	 350.056404422679	 350.727558734954	 350.624102736243	 349.727956716461	 349.710042832799	 349.512604722035	 350.197325217749	 351.147360493972	 350.639125727334	 350.547390284169	 351.881389630872	 351.265822601204	 350.749087650564	 349.856978599287	 349.470730299834	 350.340268694486	 350.666495041452	 350.680099474004	 350.784240944743	 349.647238448425	 350.583721541143	 350.576819654907	 350.609601283641	 350.521373930456	 350.762051911341	 349.978739439122	 350.470456082537	 349.832255586523	 350.228508132252	 349.941085637123	 349.979885679017	 350.176053633731	 2.67434310838902	 3.86452861667043	 3.85291630126054	 3.27231940346801	 2.7673476089992	 1.7729413415682	 3.32260655853384	 3.56106575905475	 3.44380319904852	 3.59768045813515	 3.50385983672779	 0.221960084638921	 1.48113494302669	 0.407953297592169	 1.15915016466134	 1.0531034829087	 0.43749942692247	 1.71831043001856	 2.14605376694778	 3.20205050212705	 4.10285581250964	 1.15153777153165	 1.39663245062686	 0.913582339251283	 2.39473180965783	 2.03972113483969	 1.77456148423855	 1.15700451162058	 1.86289064650556	 1.22780601738028	 0.503916818854603	 1.070761804986	 1.11592152790421	 1.66899952120664	 0.607750570774975	 0.0832818992838291	 2.88851807914994	 1.22276123506433	 1.27102656709877	 0.888385580207399	 1.13200447524749	 0.987074891377692	 0.536338829720156	 0.390015022305604	 2.1011330866758	 0.883185649935766	 0.745740005890391	 0.922925695786476	 0.430962305450516	 1.65139767830076	 0.632857142857143	 1	 
8000	 -1688.38448473254	 -1585.67371441097	 -34.4582994025013	 -45.2194395704754	 -23.0330313485915	 0.688770166130995	 350.636895463391	 0.0948290606029332	 1.38632413087256	 0.981827273077146	 8.670981265333	 2.5470655899278	 350.822987583633	 351.229943729344	 351.144396101469	 349.796926410911	 349.773278384601	 349.906447202629	 349.922858068264	 349.437349977367	 350.266813822411	 350.548957749969	 348.962928497903	 350.044365308264	 350.031142309416	 350.046612998849	 349.002835989032	 348.721254150713	 350.067568646734	 351.053388328885	 350.773429444718	 351.341325766108	 350.633426340403	 349.691732036898	 349.659408493507	 349.792535981044	 350.093566416777	 350.932691958952	 350.550230084185	 351.027496438847	 351.875422400495	 351.084255475109	 350.451017341619	 349.708730678415	 349.812662939444	 350.037313322856	 350.696697993351	 350.673046305329	 350.378551832441	 349.620559278385	 350.541056329158	 350.69844585123	 350.51863346903	 350.569018974009	 350.920660382066	 350.185238498811	 351.027387389939	 349.743583760836	 350.244664544055	 350.206411470679	 349.96311210257	 350.062666076361	 3.96416247207263	 3.44831947130837	 3.65389839539717	 3.75110812276145	 3.91492867905079	 1.68903652198434	 2.28674142402354	 2.77109067824388	 3.15419050797665	 3.43147149352198	 2.25056364111139	 0.185737691368372	 2.21914482309047	 0.376587000703258	 1.15915016466134	 1.5277372095902	 0.562118270859712	 2.20359407450362	 2.80410053051103	 3.38520969802266	 3.36467738808048	 0.827660745522705	 1.09792856751297	 0.843849397986321	 1.10932393929598	 0.915137717378603	 1.60960657163429	 1.37077777764247	 1.86147450898522	 1.5581715745881	 0.529514968943405	 1.29160663217862	 1.78339772652042	 0.844134982924031	 0.874107060737207	 0.0962494428631477	 1.90596364971808	 1.50722622518051	 0.711830890878921	 0.987163165549975	 1.13200447524749	 1.08425433018587	 0.455234886927694	 0.430137812762944	 0.957639172985131	 0.585887482550036	 0.575515768222376	 0.741504314198659	 0.471046085224773	 1.11629794391839	 0.634375	 1	 
9000	 -1686.80129497911	 -1583.85450342327	 -35.4834448394203	 -44.0623012453847	 -23.4010454710335	 0.93049892789086	 350.405976899379	 0.205476664705202	 1.06681595939668	 0.584135564974177	 12.1769023394769	 1.17567239507772	 350.713891763857	 351.047530130603	 351.060795983018	 349.550675732088	 349.489850218656	 350.280545262785	 349.924069541844	 349.449445966226	 350.36996618134	 350.402674699735	 349.200441514423	 350.069314803228	 349.861229278735	 349.830363243939	 349.098231004794	 349.042300509636	 350.01799522901	 351.284704622633	 351.13783513114	 351.424104832729	 350.851937961128	 349.728725635964	 349.53519961705	 349.596769993377	 350.027357350949	 350.815123884195	 350.72955767114	 351.192133160265	 351.976938060417	 351.188459091258	 350.339111547995	 349.903655871927	 349.631465789128	 350.425099348141	 350.778061099427	 350.594016187163	 350.825944953496	 349.671924538732	 350.479405838237	 350.613023468867	 350.482301696716	 350.46040356413	 350.734730028445	 350.086011468652	 350.953807852236	 349.868319321579	 349.979835631378	 350.213169512202	 349.960845235139	 350.225108888274	 3.49653780040439	 3.44831947130837	 3.22922263642759	 3.7656935897364	 3.79260990792814	 2.10086785078126	 2.08780186159977	 2.90416193059118	 2.91501044126603	 2.6837339195344	 1.97020234588123	 0.168145353873009	 2.29781091732976	 0.732630094418002	 1.28644469404762	 1.48876775125916	 0.444202188793545	 3.2046636494624	 3.45885424666087	 3.37976836693048	 4.1822025313038	 1.12031561252496	 1.17938378301631	 0.924304096170364	 2.03740185212856	 1.09829621626272	 1.91369088664089	 1.32046738463769	 2.10359103344304	 0.830341410515092	 0.891447988419526	 1.01741563482862	 1.36222453572401	 1.26942140638601	 0.507053392126516	 0.102856250694799	 2.4280248600214	 1.54828903534521	 0.810893427765708	 0.730924478742249	 1.03008594625805	 0.790562850430357	 0.856859412630901	 0.870128517988232	 0.795508626750707	 0.585887482550036	 0.575515768222376	 0.741504314198659	 0.426732485993829	 1.04463721755883	 0.629333333333333	 1	 
10000	 -1683.26851441648	 -1587.44238785372	 -35.822233876161	 -36.5361740785449	 -23.4677186080465	 0.947663088837491	 350.248559079558	 0.297792492550798	 1.01968491999812	 0.316411193407761	 9.96217469841431	 4.3482710681087	 350.479520793751	 351.135465988075	 351.188653304411	 350.507620001773	 349.795217591529	 349.857568740568	 349.990006333723	 349.764757901959	 350.492877989506	 350.59150786021	 349.407288401977	 350.163807050436	 350.07649709627	 350.037853761964	 349.087706137782	 349.038056516032	 350.063871276544	 350.863599711324	 351.0365687661	 351.161188435875	 350.056370263455	 349.621370580023	 349.416737891819	 349.730547618739	 350.433785553003	 351.128459273238	 350.899615731052	 351.411759509882	 352.18848559344	 351.055041845324	 350.4941493245	 349.778310253214	 349.721558716424	 350.39163270807	 350.73742363402	 350.64276881631	 351.298468603235	 349.869179423145	 350.713543675382	 350.778061491907	 350.451249924179	 350.393165886803	 350.759695916238	 350.028906044844	 350.708770496903	 350.044435039638	 349.980893275966	 350.026113106989	 349.861049259483	 350.299406982983	 3.42881599057308	 3.34026200616921	 3.45406514280973	 2.44109571103938	 3.21709999646639	 2.57767728400366	 2.30094385596405	 3.05726992239461	 2.65880996368069	 2.75832952859182	 2.53451420604687	 0.196970645223552	 1.71837395824761	 0.961034729121233	 1.30243077496093	 1.42814499694414	 0.460804049063288	 2.21207289818946	 3.39581776689295	 3.32464132302965	 3.92549071594791	 0.882016296981081	 1.02417545262949	 0.924304096170364	 1.24808818905799	 1.27717191252012	 1.19071699232873	 1.32446195297146	 1.69285440322096	 1.2644598905624	 1.66123331113538	 1.44740130849755	 1.36222453572401	 1.24853426758517	 0.713625866130756	 0.0725887444186902	 2.50235615550304	 1.4637088972916	 0.781536779158586	 0.693537419293407	 1.11904605222088	 1.09815214797146	 0.915107338318163	 0.683959652212147	 1.05913170566436	 0.574609355536428	 0.535394877336733	 0.670304879326304	 0.393735563508963	 1.16547309341942	 0.6251	 1	 
